測站,雲林分場        ,,,,,,,,,,,,,,,,,,,,,,,,,,,
測站代碼,觀測時間,平均氣壓(hPa),最高氣壓(hPa),最高氣壓時間,最低氣壓(hPa),最低氣壓時間,平均氣溫(℃),最高氣溫(℃),最高氣溫時間,最低氣溫(℃),最低氣溫時間,露點溫度(℃),平均風速(m/s),最多風向(°),最大陣風風速(m/s),最大陣風風向(°),最大陣風時間,累計雨量(mm),累積雨日(day),相對濕度(%),累積蒸發量(mm),累積日照時數(hr),累積日射量(MJ/m2),平均地溫5cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫100cm(℃)
72K220,Jan-15,1015.8,1021.5,2015/1/2 09:00,1008.3,2015/1/6 14:00,16.5,28.5,2015/1/5 15:00,5.4,2015/1/23 06:00,11.2,1.8,360,10.9,360,2015/1/14 10:00,7.5,4,73,52.2,189.3,285.65,18.7,19,19.2,20,21.2
72K220,Feb-15,1014.7,1022,2015/2/1 09:00,1008.1,2015/2/24 16:00,17.8,28.9,2015/2/28 14:00,7.5,2015/2/13 07:00,12.9,1.8,360,12,337.5,2015/2/5 14:00,14.5,2,75,51.6,161.6,279.86,20.8,20.8,20.9,21.1,21.6
72K220,Mar-15,1013.4,1020.8,2015/3/25 22:00,1005.5,2015/3/3 15:00,20.9,33.6,2015/3/19 13:00,13.7,2015/3/11 05:00,16.1,1.8,360,13.2,22.5,2015/3/23 16:00,7.5,4,75,75.8,155.5,307.97,24.1,24,23.9,23.7,23.7
72K220,Apr-15,1010,1015.6,2015/4/11 22:00,1003.5,2015/4/19 15:00,24.2,34.2,2015/4/3 13:00,10.1,2015/4/15 06:00,18.8,1.9,337.5,15.3,135,2015/4/6 16:00,78,4,74,111.2,236.3,446.65,27.7,27.5,27.4,26.7,26.2
72K220,May-15,1005.9,1010.6,2015/5/14 08:00,1001.1,2015/5/28 16:00,27.1,35.1,2015/5/18 14:00,22.1,2015/5/5 03:00,23.4,1.7,247.5,12,247.5,2015/5/2 14:00,366,14,82,107.1,180.8,388.28,30.5,30.3,30.1,29.5,28.8
72K220,Jun-15,1004.6,1008.2,2015/6/3 10:00,1000.5,2015/6/17 16:00,30,36.8,2015/6/19 14:00,23.5,2015/6/8 06:00,24,1.8,247.5,11.7,247.5,2015/6/27 15:00,29.5,5,72,141.7,272.7,488.09,32.6,32.3,32.1,31.1,30.2
72K220,Jul-15,1001.4,1010.2,2015/7/27 22:00,991.9,2015/7/10 16:00,29.1,37.1,2015/7/1 14:00,22.7,2015/7/24 06:00,24.3,1.8,180,15.4,202.5,2015/7/20 13:00,202.5,12,77,111.5,189.7,420.65,32,31.9,31.8,31.5,31
72K220,Aug-15,999.2,1009.4,2015/8/2 08:00,959.3,2015/8/8 07:00,25.8,35.9,2015/8/7 13:00,0,2015/8/21 01:00,21.2,2.5,337.5,30.1,180,2015/8/8 18:00,126.5,1,67,35.8,63.6,118.43,32.2,32.2,32.2,31.6,31.1
72K220,Sep-15,1005.1,1011.4,2015/9/17 22:00,976.9,2015/9/28 21:00,27.4,34.7,2015/9/15 14:00,22,2015/9/19 05:00,22.6,1.8,337.5,30.2,180,2015/9/29 02:00,241.5,5,77,77.4,176.7,303.11,30,30,30,29.8,29.6
72K220,Oct-15,1009.3,1017.4,2015/10/31 09:00,998.9,2015/10/20 15:00,25.9,34.3,2015/10/4 14:00,19.1,2015/10/14 03:00,21.7,1.4,337.5,7.8,270,2015/10/1 15:00,25,3,79,87.9,210.3,348.52,28.7,28.8,28.8,28.9,29.1
